"","labs","rows"
"4339","Avg Run Cadence","151 spm"
"4340","Max Run Cadence","174 spm"
"4341","Avg Stride Length","1.26 m"
"4342","title","Athens Running"
"4343","Distance","3.16 mi"
"4344","Calories Burned","430 C"
"4345","Calories Consumed","-- C"
"4346","Calories Net","-430 C"
"4347","Est. Sweat Loss","197 ml"
"4348","Fluid Consumed","-- ml"
"4349","Fluid Net","-197 ml"
"4350","Aerobic","2.3 Maintaining"
"4351","Anaerobic","0.0 No Benefit"
"4352","Avg HR","143 bpm"
"4353","Max HR","166 bpm"
"4354","Time","32:54"
"4355","Moving Time","32:53"
"4356","Elapsed Time","32:54"
"4357","Avg Speed","5.8 mph"
"4358","Avg Moving Speed","5.8 mph"
"4359","Max Speed","6.7 mph"
"4360","Total Ascent","114.3 ft"
"4361","Total Descent","28.0 ft"
"4362","Min Elev","632.3 ft"
"4363","Max Elev","741.5 ft"
"4364","Avg Run Cadence","147 spm"
"4365","Max Run Cadence","160 spm"
"4366","Avg Stride Length","1.05 m"
"4367","title","Athens Running"
"4368","Distance","6.09 mi"
"4369","Calories Burned","679 C"
"4370","Calories Consumed","-- C"
"4371","Calories Net","-679 C"
"4372","Est. Sweat Loss","271 ml"
"4373","Fluid Consumed","-- ml"
"4374","Fluid Net","-271 ml"
"4375","Aerobic","3.3 Impacting"
"4376","Anaerobic","2.6 Maintaining"
"4377","Avg HR","160 bpm"
"4378","Max HR","184 bpm"
"4379","Time","45:13"
"4380","Moving Time","45:10"
"4381","Elapsed Time","55:22"
"4382","Avg Speed","8.1 mph"
"4383","Avg Moving Speed","8.1 mph"
"4384","Max Speed","13.4 mph"
"4385","Total Ascent","102.3 ft"
"4386","Total Descent","110.4 ft"
"4387","Min Elev","718.5 ft"
"4388","Max Elev","736.7 ft"
"4389","Avg Run Cadence","156 spm"
"4390","Max Run Cadence","194 spm"
"4391","Avg Stride Length","1.37 m"
"4392","title","Athens Running"
"4393","Distance","4.09 mi"
"4394","Calories Burned","559 C"
"4395","Calories Consumed","-- C"
"4396","Calories Net","-559 C"
"4397","Est. Sweat Loss","239 ml"
"4398","Fluid Consumed","-- ml"
"4399","Fluid Net","-239 ml"
"4400","Aerobic","3.0 Impacting"
"4401","Anaerobic","0.1 No Benefit"
"4402","Avg HR","150 bpm"
"4403","Max HR","164 bpm"
"4404","Time","39:52"
"4405","Moving Time","39:49"
"4406","Elapsed Time","40:19"
"4407","Avg Speed","6.2 mph"
"4408","Avg Moving Speed","6.2 mph"
"4409","Max Speed","10.0 mph"
"4410","Total Ascent","216.0 ft"
"4411","Total Descent","208.2 ft"
"4412","Min Elev","632.7 ft"
"4413","Max Elev","741.5 ft"
"4414","Avg Run Cadence","147 spm"
"4415","Max Run Cadence","175 spm"
"4416","Avg Stride Length","1.13 m"
"4417","title","Athens Running"
"4418","Distance","14.00 mi"
"4419","Calories Burned","1,654 C"
"4420","Calories Consumed","-- C"
"4421","Calories Net","-1,654 C"
"4422","Est. Sweat Loss","661 ml"
"4423","Fluid Consumed","-- ml"
"4424","Fluid Net","-661 ml"
"4425","Aerobic","4.5 Highly Impacting"
"4426","Anaerobic","0.7 No Benefit"
"4427","Avg HR","162 bpm"
"4428","Max HR","181 bpm"
"4429","Time","1:50:19"
"4430","Moving Time","1:49:54"
"4431","Elapsed Time","1:54:54"
"4432","Avg Speed","7.6 mph"
"4433","Avg Moving Speed","7.6 mph"
"4434","Max Speed","11.1 mph"
"4435","Total Ascent","761.2 ft"
"4436","Total Descent","731.5 ft"
"4437","Min Elev","580.7 ft"
"4438","Max Elev","780.8 ft"
"4439","Avg Run Cadence","152 spm"
"4440","Max Run Cadence","182 spm"
"4441","Avg Stride Length","1.34 m"
"4442","title","Athens Running"
"4443","Distance","2.06 mi"
"4444","Calories Burned","296 C"
"4445","Calories Consumed","-- C"
"4446","Calories Net","-296 C"
"4447","Est. Sweat Loss","124 ml"
"4448","Fluid Consumed","-- ml"
"4449","Fluid Net","-124 ml"
"4450","Aerobic","2.4 Maintaining"
"4451","Anaerobic","0.0 No Benefit"
"4452","Avg HR","149 bpm"
"4453","Max HR","160 bpm"
"4454","Time","20:50"
"4455","Moving Time","20:43"
"4456","Elapsed Time","21:10"
"4457","Avg Speed","5.9 mph"
"4458","Avg Moving Speed","6.0 mph"
"4459","Max Speed","16.8 mph"
"4460","Total Ascent","21.9 ft"
"4461","Total Descent","23.0 ft"
"4462","Min Elev","658.0 ft"
"4463","Max Elev","674.9 ft"
"4464","Avg Run Cadence","147 spm"
"4465","Max Run Cadence","213 spm"
"4466","Avg Stride Length","1.08 m"
"4467","title","Athens Running"
"4468","Distance","2.00 mi"
"4469","Calories Burned","284 C"
"4470","Calories Consumed","-- C"
"4471","Calories Net","-284 C"
"4472","Est. Sweat Loss","122 ml"
"4473","Fluid Consumed","-- ml"
"4474","Fluid Net","-122 ml"
"4475","Aerobic","2.3 Maintaining"
"4476","Anaerobic","0.0 No Benefit"
"4477","Avg HR","146 bpm"
"4478","Max HR","158 bpm"
"4479","Time","20:23"
"4480","Moving Time","20:23"
"4481","Elapsed Time","20:23"
"4482","Avg Speed","5.9 mph"
"4483","Avg Moving Speed","5.9 mph"
"4484","Max Speed","6.9 mph"
"4485","Total Ascent","82.6 ft"
"4486","Total Descent","67.3 ft"
"4487","Min Elev","603.7 ft"
"4488","Max Elev","689.3 ft"
"4489","Avg Run Cadence","146 spm"
"4490","Max Run Cadence","156 spm"
"4491","Avg Stride Length","1.08 m"
"4492","title","Athens Running"
"4493","Distance","8.01 mi"
"4494","Calories Burned","1,051 C"
"4495","Calories Consumed","-- C"
"4496","Calories Net","-1,051 C"
"4497","Est. Sweat Loss","396 ml"
"4498","Fluid Consumed","-- ml"
"4499","Fluid Net","-396 ml"
"4500","Aerobic","4.2 Highly Impacting"
"4501","Anaerobic","0.0 No Benefit"
"4502","Avg HR","163 bpm"
"4503","Max HR","180 bpm"
"4504","Time","1:06:04"
"4505","Moving Time","1:05:56"
"4506","Elapsed Time","1:10:45"
"4507","Avg Speed","7.3 mph"
"4508","Avg Moving Speed","7.3 mph"
"4509","Max Speed","8.4 mph"
"4510","Total Ascent","527.0 ft"
"4511","Total Descent","475.6 ft"
"4512","Min Elev","633.7 ft"
"4513","Max Elev","741.5 ft"
"4514","Avg Run Cadence","152 spm"
"4515","Max Run Cadence","162 spm"
"4516","Avg Stride Length","1.28 m"
"4517","title","Athens Running"
"4518","Distance","6.01 mi"
"4519","Calories Burned","662 C"
"4520","Calories Consumed","-- C"
"4521","Calories Net","-662 C"
"4522","Est. Sweat Loss","276 ml"
"4523","Fluid Consumed","-- ml"
"4524","Fluid Net","-276 ml"
"4525","Aerobic","3.3 Impacting"
"4526","Anaerobic","3.0 Impacting"
"4527","Avg HR","158 bpm"
"4528","Max HR","185 bpm"
"4529","Time","46:05"
"4530","Moving Time","45:55"
"4531","Elapsed Time","57:38"
"4532","Avg Speed","7.8 mph"
"4533","Avg Moving Speed","7.9 mph"
"4534","Max Speed","13.1 mph"
"4535","Total Ascent","183.3 ft"
"4536","Total Descent","181.5 ft"
"4537","Min Elev","718.5 ft"
"4538","Max Elev","738.3 ft"
"4539","Avg Run Cadence","152 spm"
"4540","Max Run Cadence","186 spm"
"4541","Avg Stride Length","1.35 m"
"4542","title","Athens Running"
"4543","Distance","3.21 mi"
"4544","Calories Burned","436 C"
"4545","Calories Consumed","-- C"
"4546","Calories Net","-436 C"
"4547","Est. Sweat Loss","183 ml"
"4548","Fluid Consumed","-- ml"
"4549","Fluid Net","-183 ml"
"4550","Aerobic","2.8 Maintaining"
"4551","Anaerobic","0.0 No Benefit"
"4552","Avg HR","150 bpm"
"4553","Max HR","171 bpm"
"4554","Time","30:34"
"4555","Moving Time","30:34"
"4556","Elapsed Time","30:34"
"4557","Avg Speed","6.3 mph"
"4558","Avg Moving Speed","6.3 mph"
"4559","Max Speed","8.0 mph"
"4560","Total Ascent","113.8 ft"
"4561","Total Descent","74.0 ft"
"4562","Min Elev","635.1 ft"
"4563","Max Elev","741.5 ft"
"4564","Avg Run Cadence","146 spm"
"4565","Max Run Cadence","172 spm"
"4566","Avg Stride Length","1.16 m"
"4567","title","Athens Running"
"4568","Distance","3.16 mi"
"4569","Calories Burned","411 C"
"4570","Calories Consumed","-- C"
"4571","Calories Net","-411 C"
"4572","Est. Sweat Loss","196 ml"
"4573","Fluid Consumed","-- ml"
"4574","Fluid Net","-196 ml"
"4575","Aerobic","2.3 Maintaining"
"4576","Anaerobic","0.0 No Benefit"
"4577","Avg HR","142 bpm"
"4578","Max HR","157 bpm"
"4579","Time","32:47"
"4580","Moving Time","32:46"
"4581","Elapsed Time","32:47"
"4582","Avg Speed","5.8 mph"
"4583","Avg Moving Speed","5.8 mph"
"4584","Max Speed","7.1 mph"
"4585","Total Ascent","131.0 ft"
"4586","Total Descent","47.4 ft"
"4587","Min Elev","633.2 ft"
"4588","Max Elev","741.5 ft"
"4589","Avg Run Cadence","146 spm"
"4590","Max Run Cadence","157 spm"
"4591","Avg Stride Length","1.07 m"
"4592","title","Athens Running"
"4593","Distance","8.00 mi"
"4594","Calories Burned","1,005 C"
"4595","Calories Consumed","-- C"
"4596","Calories Net","-1,005 C"
"4597","Est. Sweat Loss","390 ml"
"4598","Fluid Consumed","-- ml"
"4599","Fluid Net","-390 ml"
"4600","Aerobic","3.9 Impacting"
"4601","Anaerobic","0.3 No Benefit"
"4602","Avg HR","161 bpm"
"4603","Max HR","177 bpm"
"4604","Time","1:05:10"
"4605","Moving Time","1:05:06"
"4606","Elapsed Time","1:05:26"
"4607","Avg Speed","7.4 mph"
"4608","Avg Moving Speed","7.4 mph"
"4609","Max Speed","15.1 mph"
"4610","Total Ascent","475.4 ft"
"4611","Total Descent","401.4 ft"
"4612","Min Elev","632.8 ft"
"4613","Max Elev","741.5 ft"
"4614","Avg Run Cadence","150 spm"
"4615","Max Run Cadence","196 spm"
"4616","Avg Stride Length","1.31 m"
"4617","title","Athens Running"
"4618","Distance","4.00 mi"
"4619","Calories Burned","534 C"
"4620","Calories Consumed","-- C"
"4621","Calories Net","-534 C"
"4622","Est. Sweat Loss","242 ml"
"4623","Fluid Consumed","-- ml"
"4624","Fluid Net","-242 ml"
"4625","Aerobic","2.7 Maintaining"
"4626","Anaerobic","0.0 No Benefit"
"4627","Avg HR","146 bpm"
"4628","Max HR","159 bpm"
"4629","Time","40:26"
"4630","Moving Time","40:25"
"4631","Elapsed Time","40:26"
"4632","Avg Speed","5.9 mph"
"4633","Avg Moving Speed","5.9 mph"
"4634","Max Speed","8.2 mph"
"4635","Total Ascent","188.7 ft"
"4636","Total Descent","172.5 ft"
"4637","Min Elev","630.6 ft"
"4638","Max Elev","741.5 ft"
"4639","Avg Run Cadence","144 spm"
"4640","Max Run Cadence","154 spm"
"4641","Avg Stride Length","1.11 m"
"4642","title","Athens Running"
"4643","Distance","12.01 mi"
"4644","Calories Burned","1,428 C"
"4645","Calories Consumed","-- C"
"4646","Calories Net","-1,428 C"
"4647","Est. Sweat Loss","594 ml"
"4648","Fluid Consumed","-- ml"
"4649","Fluid Net","-594 ml"
"4650","Aerobic","4.2 Highly Impacting"
"4651","Anaerobic","0.4 No Benefit"
"4652","Avg HR","159 bpm"
"4653","Max HR","181 bpm"
"4654","Time","1:39:07"
"4655","Moving Time","1:38:26"
"4656","Elapsed Time","1:45:26"
"4657","Avg Speed","7.3 mph"
"4658","Avg Moving Speed","7.3 mph"
"4659","Max Speed","12.3 mph"
"4660","Total Ascent","684.3 ft"
"4661","Total Descent","642.9 ft"
"4662","Min Elev","580.7 ft"
"4663","Max Elev","780.8 ft"
"4664","Avg Run Cadence","150 spm"
"4665","Max Run Cadence","203 spm"
"4666","Avg Stride Length","1.30 m"
"4667","title","Athens Running"
"4668","Distance","5.01 mi"
"4669","Calories Burned","628 C"
"4670","Calories Consumed","-- C"
"4671","Calories Net","-628 C"
"4672","Est. Sweat Loss","259 ml"
"4673","Fluid Consumed","-- ml"
"4674","Fluid Net","-259 ml"
"4675","Aerobic","3.3 Impacting"
"4676","Anaerobic","2.1 Maintaining"
"4677","Avg HR","155 bpm"
"4678","Max HR","185 bpm"
"4679","Time","43:19"
"4680","Moving Time","43:18"
"4681","Elapsed Time","43:19"
"4682","Avg Speed","6.9 mph"
"4683","Avg Moving Speed","6.9 mph"
"4684","Max Speed","10.4 mph"
"4685","Total Ascent","248.6 ft"
"4686","Total Descent","233.3 ft"
"4687","Min Elev","632.9 ft"
"4688","Max Elev","741.5 ft"
"4689","Avg Run Cadence","149 spm"
"4690","Max Run Cadence","167 spm"
"4691","Avg Stride Length","1.25 m"
"4692","title","Athens Running"
"4693","Distance","3.06 mi"
"4694","Calories Burned","427 C"
"4695","Calories Consumed","-- C"
"4696","Calories Net","-427 C"
"4697","Est. Sweat Loss","195 ml"
"4698","Fluid Consumed","-- ml"
"4699","Fluid Net","-195 ml"
"4700","Aerobic","2.5 Maintaining"
"4701","Anaerobic","0.0 No Benefit"
"4702","Avg HR","144 bpm"
"4703","Max HR","170 bpm"
"4704","Time","32:34"
"4705","Moving Time","32:34"
"4706","Elapsed Time","32:34"
"4707","Avg Speed","5.6 mph"
"4708","Avg Moving Speed","5.6 mph"
"4709","Max Speed","7.0 mph"
"4710","Total Ascent","123.7 ft"
"4711","Total Descent","89.6 ft"
"4712","Min Elev","634.2 ft"
"4713","Max Elev","741.5 ft"
"4714","Avg Run Cadence","147 spm"
"4715","Max Run Cadence","156 spm"
"4716","Avg Stride Length","1.03 m"
"4717","title","Athens Running"
"4718","Distance","8.00 mi"
"4719","Calories Burned","1,006 C"
"4720","Calories Consumed","-- C"
"4721","Calories Net","-1,006 C"
"4722","Est. Sweat Loss","386 ml"
"4723","Fluid Consumed","-- ml"
"4724","Fluid Net","-386 ml"
"4725","Aerobic","4.1 Highly Impacting"
"4726","Anaerobic","0.2 No Benefit"
"4727","Avg HR","163 bpm"
"4728","Max HR","176 bpm"
"4729","Time","1:04:27"
"4730","Moving Time","1:04:19"
"4731","Elapsed Time","1:04:36"
"4732","Avg Speed","7.5 mph"
"4733","Avg Moving Speed","7.5 mph"
"4734","Max Speed","13.0 mph"
"4735","Total Ascent","455.4 ft"
"4736","Total Descent","367.3 ft"
"4737","Min Elev","633.0 ft"
"4738","Max Elev","741.5 ft"
"4739","Avg Run Cadence","151 spm"
"4740","Max Run Cadence","186 spm"
"4741","Avg Stride Length","1.32 m"
"4742","title","Athens Running"
"4743","Distance","6.22 mi"
"4744","Calories Burned","836 C"
"4745","Calories Consumed","-- C"
"4746","Calories Net","-836 C"
"4747","Est. Sweat Loss","330 ml"
"4748","Fluid Consumed","-- ml"
"4749","Fluid Net","-330 ml"
"4750","Aerobic","3.7 Impacting"
"4751","Anaerobic","0.0 No Benefit"
"4752","Avg HR","159 bpm"
"4753","Max HR","173 bpm"
"4754","Time","55:02"
"4755","Moving Time","54:57"
"4756","Elapsed Time","55:24"
"4757","Avg Speed","6.8 mph"
"4758","Avg Moving Speed","6.8 mph"
"4759","Max Speed","8.0 mph"
"4760","Total Ascent","395.9 ft"
"4761","Total Descent","350.6 ft"
"4762","Min Elev","631.9 ft"
"4763","Max Elev","741.5 ft"
"4764","Avg Run Cadence","146 spm"
"4765","Max Run Cadence","164 spm"
"4766","Avg Stride Length","1.25 m"
"4767","title","Athens Running"
"4768","Distance","8.01 mi"
"4769","Calories Burned","969 C"
"4770","Calories Consumed","-- C"
"4771","Calories Net","-969 C"
"4772","Est. Sweat Loss","385 ml"
"4773","Fluid Consumed","-- ml"
"4774","Fluid Net","-385 ml"
"4775","Aerobic","3.8 Impacting"
"4776","Anaerobic","0.2 No Benefit"
"4777","Avg HR","159 bpm"
"4778","Max HR","175 bpm"
"4779","Time","1:04:16"
"4780","Moving Time","1:04:07"
"4781","Elapsed Time","1:05:29"
"4782","Avg Speed","7.5 mph"
"4783","Avg Moving Speed","7.5 mph"
"4784","Max Speed","8.8 mph"
"4785","Total Ascent","455.2 ft"
"4786","Total Descent","371.3 ft"
"4787","Min Elev","632.2 ft"
"4788","Max Elev","741.5 ft"
"4789","Avg Run Cadence","150 spm"
"4790","Max Run Cadence","168 spm"
"4791","Avg Stride Length","1.34 m"
"4792","title","Athens Running"
"4793","Distance","2.78 mi"
"4794","Calories Burned","335 C"
"4795","Calories Consumed","-- C"
"4796","Calories Net","-335 C"
"4797","Est. Sweat Loss","171 ml"
"4798","Fluid Consumed","-- ml"
"4799","Fluid Net","-171 ml"
"4800","Aerobic","2.2 Maintaining"
"4801","Anaerobic","0.0 No Benefit"
"4802","Avg HR","136 bpm"
"4803","Max HR","168 bpm"
"4804","Time","28:37"
"4805","Moving Time","28:30"
"4806","Elapsed Time","41:05"
"4807","Avg Speed","5.8 mph"
"4808","Avg Moving Speed","5.9 mph"
"4809","Max Speed","7.7 mph"
"4810","Total Ascent","206.4 ft"
"4811","Total Descent","206.4 ft"
"4812","Min Elev","629.4 ft"
"4813","Max Elev","780.8 ft"
"4814","Avg Run Cadence","143 spm"
"4815","Max Run Cadence","239 spm"
"4816","Avg Stride Length","1.09 m"
"4817","title","Athens Running"
"4818","Distance","12.36 mi"
"4819","Calories Burned","1,533 C"
"4820","Calories Consumed","-- C"
"4821","Calories Net","-1,533 C"
"4822","Est. Sweat Loss","597 ml"
"4823","Fluid Consumed","-- ml"
"4824","Fluid Net","-597 ml"
"4825","Aerobic","4.8 Highly Impacting"
"4826","Anaerobic","0.3 No Benefit"
"4827","Avg HR","163 bpm"
"4828","Max HR","176 bpm"
"4829","Time","1:39:37"
"4830","Moving Time","1:39:12"
"4831","Elapsed Time","1:41:24"
"4832","Avg Speed","7.4 mph"
"4833","Avg Moving Speed","7.5 mph"
"4834","Max Speed","11.5 mph"
"4835","Total Ascent","708.9 ft"
"4836","Total Descent","663.3 ft"
"4837","Min Elev","580.7 ft"
"4838","Max Elev","780.8 ft"
"4839","Avg Run Cadence","152 spm"
"4840","Max Run Cadence","180 spm"
"4841","Avg Stride Length","1.32 m"
"4842","title","Athens Running"
"4843","Distance","3.00 mi"
"4844","Calories Burned","412 C"
"4845","Calories Consumed","-- C"
"4846","Calories Net","-412 C"
"4847","Est. Sweat Loss","193 ml"
"4848","Fluid Consumed","-- ml"
"4849","Fluid Net","-193 ml"
"4850","Aerobic","2.3 Maintaining"
"4851","Anaerobic","0.0 No Benefit"
"4852","Avg HR","143 bpm"
"4853","Max HR","164 bpm"
"4854","Time","32:13"
"4855","Moving Time","32:11"
"4856","Elapsed Time","33:28"
"4857","Avg Speed","5.6 mph"
"4858","Avg Moving Speed","5.6 mph"
"4859","Max Speed","9.0 mph"
"4860","Total Ascent","170.9 ft"
"4861","Total Descent","189.8 ft"
"4862","Min Elev","605.5 ft"
"4863","Max Elev","688.3 ft"
"4864","Avg Run Cadence","143 spm"
"4865","Max Run Cadence","167 spm"
"4866","Avg Stride Length","1.05 m"
"4867","title","Athens Running"
"4868","Distance","5.01 mi"
"4869","Calories Burned","624 C"
"4870","Calories Consumed","-- C"
"4871","Calories Net","-624 C"
"4872","Est. Sweat Loss","236 ml"
"4873","Fluid Consumed","-- ml"
"4874","Fluid Net","-236 ml"
"4875","Aerobic","3.6 Impacting"
"4876","Anaerobic","0.0 No Benefit"
"4877","Avg HR","163 bpm"
"4878","Max HR","175 bpm"
"4879","Time","39:26"
"4880","Moving Time","39:20"
"4881","Elapsed Time","39:38"
"4882","Avg Speed","7.6 mph"
"4883","Avg Moving Speed","7.6 mph"
"4884","Max Speed","9.1 mph"
"4885","Total Ascent","294.5 ft"
"4886","Total Descent","238.1 ft"
"4887","Min Elev","633.8 ft"
"4888","Max Elev","741.5 ft"
"4889","Avg Run Cadence","151 spm"
"4890","Max Run Cadence","167 spm"
"4891","Avg Stride Length","1.35 m"
"4892","title","Athens Running"
"4893","Distance","5.01 mi"
"4894","Calories Burned","617 C"
"4895","Calories Consumed","-- C"
"4896","Calories Net","-617 C"
"4897","Est. Sweat Loss","221 ml"
"4898","Fluid Consumed","-- ml"
"4899","Fluid Net","-221 ml"
"4900","Aerobic","3.9 Impacting"
"4901","Anaerobic","0.0 No Benefit"
"4902","Avg HR","169 bpm"
"4903","Max HR","182 bpm"
"4904","Time","36:53"
"4905","Moving Time","36:48"
"4906","Elapsed Time","37:03"
"4907","Avg Speed","8.1 mph"
"4908","Avg Moving Speed","8.2 mph"
"4909","Max Speed","9.4 mph"
"4910","Total Ascent","293.9 ft"
"4911","Total Descent","251.5 ft"
"4912","Min Elev","633.7 ft"
"4913","Max Elev","741.5 ft"
"4914","Avg Run Cadence","154 spm"
"4915","Max Run Cadence","166 spm"
"4916","Avg Stride Length","1.42 m"
"4917","title","Athens Running"
"4918","Distance","3.44 mi"
"4919","Calories Burned","431 C"
"4920","Calories Consumed","-- C"
"4921","Calories Net","-431 C"
"4922","Est. Sweat Loss","163 ml"
"4923","Fluid Consumed","-- ml"
"4924","Fluid Net","-163 ml"
"4925","Aerobic","3.3 Impacting"
"4926","Anaerobic","0.0 No Benefit"
"4927","Avg HR","162 bpm"
"4928","Max HR","178 bpm"
"4929","Time","27:10"
"4930","Moving Time","27:10"
"4931","Elapsed Time","27:10"
"4932","Avg Speed","7.6 mph"
"4933","Avg Moving Speed","7.6 mph"
"4934","Max Speed","9.2 mph"
"4935","Total Ascent","135.6 ft"
"4936","Total Descent","93.6 ft"
"4937","Min Elev","632.5 ft"
"4938","Max Elev","741.5 ft"
"4939","Avg Run Cadence","151 spm"
"4940","Max Run Cadence","162 spm"
"4941","Avg Stride Length","1.35 m"
"4942","title","Athens Running"
"4943","Distance","6.23 mi"
"4944","Calories Burned","818 C"
"4945","Calories Consumed","-- C"
"4946","Calories Net","-818 C"
"4947","Est. Sweat Loss","311 ml"
"4948","Fluid Consumed","-- ml"
"4949","Fluid Net","-311 ml"
"4950","Aerobic","3.8 Impacting"
"4951","Anaerobic","0.2 No Benefit"
"4952","Avg HR","161 bpm"
"4953","Max HR","180 bpm"
"4954","Time","51:53"
"4955","Moving Time","51:46"
"4956","Elapsed Time","52:01"
"4957","Avg Speed","7.2 mph"
"4958","Avg Moving Speed","7.2 mph"
"4959","Max Speed","8.7 mph"
"4960","Total Ascent","395.3 ft"
"4961","Total Descent","357.5 ft"
"4962","Min Elev","632.4 ft"
"4963","Max Elev","741.5 ft"
"4964","Avg Run Cadence","151 spm"
"4965","Max Run Cadence","161 spm"
"4966","Avg Stride Length","1.28 m"
"4967","title","Athens Running"
"4968","Distance","3.40 mi"
"4969","Calories Burned","422 C"
"4970","Calories Consumed","-- C"
"4971","Calories Net","-422 C"
"4972","Est. Sweat Loss","167 ml"
"4973","Fluid Consumed","-- ml"
"4974","Fluid Net","-167 ml"
"4975","Aerobic","3.1 Impacting"
"4976","Anaerobic","0.0 No Benefit"
"4977","Avg HR","153 bpm"
"4978","Max HR","170 bpm"
"4979","Time","27:59"
"4980","Moving Time","27:54"
"4981","Elapsed Time","28:36"
"4982","Avg Speed","7.3 mph"
"4983","Avg Moving Speed","7.3 mph"
"4984","Max Speed","8.2 mph"
"4985","Total Ascent","153.5 ft"
"4986","Total Descent","92.2 ft"
"4987","Min Elev","632.6 ft"
"4988","Max Elev","741.5 ft"
"4989","Avg Run Cadence","153 spm"
"4990","Max Run Cadence","164 spm"
"4991","Avg Stride Length","1.28 m"
"4992","title","Athens Running"
